Speech_Date,Sentiment_Score,Sentiment_Label,after,before,return_diff
2025-03-28,0.9984,positive,0.0,-0.002613272389561494,0.002613272389561494
2020-01-24,0.9998,positive,-0.011007814998567955,0.0007739333363617762,-0.011781748334929731
2024-04-12,0.9999,positive,-0.011382831753907308,0.004745952566207912,-0.01612878432011522
2021-04-07,0.9998,positive,-0.0007065643800904242,0.0008557952435583882,-0.0015623596236488124
2024-01-17,0.9993,positive,0.0012912973696421193,-0.002716073426993648,0.0040073707966357675
2024-06-07,0.9999,positive,-0.002650571726895312,0.020630304743936012,-0.023280876470831324
2020-08-27,0.994,positive,0.004523248065923635,0.0014153863548579172,0.003107861711065718
2020-02-24,0.9999,positive,-0.005120773654648654,0.0,-0.005120773654648654
2023-12-28,0.9999,positive,-0.002349455884531393,0.009835496451143344,-0.012184952335674737
2021-06-04,0.9994,positive,0.004385042510979931,0.0028707250522109207,0.00151431745876901
2023-02-08,0.9998,positive,0.00015824500093308824,-0.0036501519777638602,0.0038083969786969485
2025-04-25,0.9998,positive,0.012697939601570285,0.00130587881428601,0.011392060787284275
2023-08-10,1.0,positive,-0.00556464270648005,0.0003227920506216342,-0.005887434757101684
2023-04-06,0.9999,positive,0.0,0.009861314158533752,-0.009861314158533752
2024-08-09,0.9991,positive,-0.0007149329037332564,0.0019057271546606414,-0.0026206600583938977
2020-08-27,0.9985,positive,0.004523248065923635,0.0014153863548579172,0.003107861711065718
2024-02-08,0.9997,positive,0.0023388796412142643,0.002933113948893895,-0.0005942343076796308
2021-02-05,0.9998,positive,0.012164809967770918,0.008166062677586128,0.00399874729018479
2022-09-30,0.9997,positive,-0.011111744464364137,-0.006122249711441541,-0.004989494752922596
2021-08-06,0.9993,positive,0.0023054176811732052,0.006207747282154785,-0.00390232960098158
2023-06-08,0.9998,positive,-0.003548393672993644,0.0028306765023725644,-0.006379070175366208
2022-12-07,0.9996,positive,-0.0018267152237624318,-0.003314132378047563,0.001487417154285131
2024-04-05,0.9806,positive,0.006657146236252354,0.002191055923791818,0.0044660903124605356
2025-03-13,0.9996,positive,0.0,-0.0005763101187675757,0.0005763101187675757
2025-02-07,0.9995,positive,-0.00704327388114756,-0.0033499726286049802,-0.00369330125254258
2025-04-09,0.9998,positive,0.0177408255121565,0.014892138149563472,0.0028486873625930276
2023-12-20,0.9959,positive,0.004250852763824864,0.001712032384448836,0.0025388203793760278
2022-06-08,0.9999,positive,-0.005293835714198891,-0.010201656058052011,0.00490782034385312
2022-02-10,0.9989,positive,-0.01311999736958358,0.007311948859913819,-0.0204319462294974
2024-12-11,0.9992,positive,0.0037376126374021323,1.9457335861394753e-05,0.0037181553015407376
2021-12-08,0.9999,positive,0.0011683521507869776,0.01562207016487882,-0.014453718014091843
2025-03-17,0.9997,positive,0.009710347020734108,0.0,0.009710347020734108
2020-07-11,0.9997,positive,-0.007644362179939135,0.003673527082871275,-0.01131788926281041
2024-10-18,0.9998,positive,-0.0009046080474239826,-0.004983143780395993,0.004078535732972011
2022-04-08,0.9996,positive,-0.008118288832825504,-0.009530428340167207,0.0014121395073417031
2023-10-06,1.0,positive,-0.0073223358411145245,0.0009253808809193131,-0.008247716722033838
2024-12-06,0.998,positive,-0.0024557388074522013,0.005683685521511217,-0.008139424328963418
2025-04-01,0.9998,positive,-0.0028676010746835345,0.0,-0.0028676010746835345
2022-08-05,0.9996,positive,0.007966383248892317,0.0013987054001955435,0.0065676778486967735
2025-04-17,0.994,positive,0.0,0.004032043767574045,-0.004032043767574045
2021-10-08,0.9992,positive,0.0012774535273516463,-0.0005228301477269159,0.0018002836750785622
2024-10-04,0.9987,positive,-0.007815708347702954,-0.02099519890673951,0.013179490559036555
2023-12-08,0.9999,positive,0.0014740966808266531,0.001632303982714689,-0.0001582073018880359
2020-03-06,0.9996,positive,-0.05167233823806883,-0.001977398805432351,-0.049694939432636476
2024-12-19,0.9999,positive,-0.014850822147336573,-0.00962090939075605,-0.005229912756580524
