Date,Close,High,Low,Open,Volume,Speech_Date
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
2023-12-06,20937.69921875,20961.94921875,20852.150390625,20950.75,359200,2023-12-08
2023-12-07,20901.150390625,20941.25,20850.80078125,20932.400390625,275000,2023-12-08
2023-12-08,20969.400390625,21006.099609375,20862.69921875,20934.099609375,292400,2023-12-08
2023-12-11,20997.099609375,21026.099609375,20923.69921875,20965.30078125,212900,2023-12-08
2024-02-05,21771.69921875,21964.30078125,21726.94921875,21921.05078125,440800,2024-02-08
2024-02-06,21929.400390625,21951.400390625,21737.55078125,21825.19921875,371000,2024-02-08
2024-02-07,21930.5,22053.30078125,21860.150390625,22045.05078125,346300,2024-02-08
2024-02-08,21717.94921875,22011.05078125,21665.30078125,22009.650390625,491100,2024-02-08
2024-02-09,21782.5,21804.44921875,21629.900390625,21727.0,349200,2024-02-08
2024-04-02,22453.30078125,22497.599609375,22388.150390625,22458.80078125,289500,2024-04-05
2024-04-03,22434.650390625,22521.099609375,22346.5,22385.69921875,309600,2024-04-05
2024-04-04,22514.650390625,22619.0,22303.80078125,22592.099609375,401000,2024-04-05
2024-04-05,22513.69921875,22537.599609375,22427.599609375,22486.400390625,242200,2024-04-05
2024-04-08,22666.30078125,22697.30078125,22550.349609375,22578.349609375,227600,2024-04-05
2024-06-04,21884.5,23179.5,21281.44921875,23179.5,1006100,2024-06-07
2024-06-05,22620.349609375,22670.400390625,21791.94921875,22128.349609375,638500,2024-06-07
2024-06-06,22821.400390625,22910.150390625,22642.599609375,22798.599609375,480400,2024-06-07
2024-06-07,23290.150390625,23320.19921875,22789.05078125,22821.849609375,473600,2024-06-07
2024-06-10,23259.19921875,23411.900390625,23227.150390625,23319.150390625,304400,2024-06-07
2024-08-06,23992.55078125,24382.599609375,23960.400390625,24189.849609375,312300,2024-08-09
2024-08-07,24297.5,24337.69921875,24184.900390625,24289.400390625,317600,2024-08-09
2024-08-08,24117.0,24340.5,24079.69921875,24248.55078125,311900,2024-08-09
2024-08-09,24367.5,24419.75,24311.19921875,24386.849609375,215100,2024-08-09
2024-08-12,24347.0,24472.80078125,24212.099609375,24320.05078125,279900,2024-08-09
2024-10-01,25796.900390625,25907.599609375,25739.19921875,25788.44921875,247400,2024-10-04
2024-10-03,25250.099609375,25639.44921875,25230.30078125,25452.849609375,423400,2024-10-04
2024-10-04,25014.599609375,25485.05078125,24966.80078125,25181.900390625,374900,2024-10-04
2024-10-07,24795.75,25143.0,24694.349609375,25084.099609375,374300,2024-10-04
2024-12-09,24619.0,24705.0,24580.05078125,24633.900390625,248100,2024-12-11
2024-12-10,24610.05078125,24677.80078125,24510.650390625,24652.650390625,261000,2024-12-11
2024-12-11,24641.80078125,24691.75,24583.849609375,24620.5,187300,2024-12-11
2024-12-12,24548.69921875,24675.25,24527.94921875,24604.44921875,266100,2024-12-11
2024-12-13,24768.30078125,24792.30078125,24180.80078125,24498.349609375,310100,2024-12-11
2025-04-07,22161.599609375,22254.0,21743.650390625,21758.400390625,647100,2025-04-09
2025-04-08,22535.849609375,22697.19921875,22270.849609375,22446.75,468300,2025-04-09
2025-04-09,22399.150390625,22468.69921875,22353.25,22460.30078125,383800,2025-04-09
2025-04-11,22828.55078125,22923.900390625,22695.400390625,22695.400390625,402200,2025-04-09
