Speech_Date,Sentiment_Score,Sentiment_Label,after,before,return_diff
2025-03-28,0.9984,positive,0.0,-0.001603125725771426,0.001603125725771426
2020-01-24,0.9998,positive,-0.010552527912150667,0.0004470842229978289,-0.010999612135148495
2024-04-12,0.9999,positive,-0.010963897188301042,0.0049044741142307835,-0.015868371302531825
2021-04-07,0.9998,positive,0.0005379285234076714,0.003122067245233451,-0.0025841387218257794
2024-01-17,0.9993,positive,0.0011883428388598793,-0.0029482333845447517,0.004136576223404631
2024-06-07,0.9999,positive,-0.0013289382574128705,0.02125614300213674,-0.02258508125954961
2020-08-27,0.994,positive,0.0038215978274974693,0.0014496257951357894,0.00237197203236168
2020-02-24,0.9999,positive,-0.005551237195921581,0.0,-0.005551237195921581
2023-12-28,0.9999,positive,-0.0021717930740454694,0.0099527499207277,-0.012124542994773169
2021-06-04,0.9994,positive,0.0051945814919991395,0.0037075832253341545,0.001486998266664985
2023-02-08,0.9998,positive,-0.0004239749598199949,-0.0024261514654264627,0.0020021765056064678
2025-04-25,0.9998,positive,0.012028211882747275,0.0016550472799327642,0.01037316460281451
2023-08-10,1.0,positive,-0.005874136161590715,0.0009014862100789611,-0.006775622371669676
2023-04-06,0.9999,positive,0.0,0.009138954817361267,-0.009138954817361267
2024-08-09,0.9991,positive,-0.0008412844977941925,0.002640707333441683,-0.0034819918312358755
2020-08-27,0.9985,positive,0.0038215978274974693,0.0014496257951357894,0.00237197203236168
2024-02-08,0.9997,positive,0.0029722318898448563,0.0036467726294547864,-0.0006745407396099301
2021-02-05,0.9998,positive,0.01283480273296811,0.008423940350552273,0.004410862382415837
2022-09-30,0.9997,positive,-0.012109264448790458,-0.005575756617249128,-0.00653350783154133
2021-08-06,0.9993,positive,0.0012347307242392969,0.005070057499725,-0.0038353267754857034
2023-06-08,0.9998,positive,-0.00381819725413457,0.0035634229764750502,-0.00738162023060962
2022-12-07,0.9996,positive,-0.0017134350225258,-0.0031175136590962937,0.0014040786365704938
2024-04-05,0.9806,positive,0.006778164752814453,0.001367641123997454,0.005410523628816999
2025-03-13,0.9996,positive,0.0,0.00022806933318719746,-0.00022806933318719746
2025-02-07,0.9995,positive,-0.007570033692307909,-0.0028659048483760663,-0.004704128843931843
2025-04-09,0.9998,positive,0.019170387409190415,0.016887318902814252,0.0022830685063761624
2023-12-20,0.9959,positive,0.004699360316567036,0.0016083748565725031,0.003090985459994533
2022-06-08,0.9999,positive,-0.004658985336205568,-0.009245946006475991,0.0045869606702704235
2022-02-10,0.9989,positive,-0.01312629691281364,0.007249924977482114,-0.020376221890295754
2024-12-11,0.9992,positive,0.0025836757144648836,-0.0003635086213900074,0.002947184335854891
2021-12-08,0.9999,positive,0.0011896478494370366,0.015636548581649423,-0.014446900732212387
2025-03-17,0.9997,positive,0.010009842076684242,0.0,0.010009842076684242
2020-07-11,0.9997,positive,-0.007432803433079338,0.002930760813231237,-0.010363564246310575
2024-10-18,0.9998,positive,-0.00293518237799828,-0.006151151366251106,0.0032159689882528264
2022-04-08,0.9996,positive,-0.006151497975913078,-0.008889460714261943,0.0027379627383488647
2023-10-06,1.0,positive,-0.00718194675884698,0.0004486384169775093,-0.007630585175824489
2024-12-06,0.998,positive,-0.0023827399277279726,0.005134461188769479,-0.007517201116497452
2025-04-01,0.9998,positive,-0.003732641978409871,0.0,-0.003732641978409871
2022-08-05,0.9996,positive,0.007334364671648164,0.0010540483757150443,0.006280316295933119
2025-04-17,0.994,positive,0.0,0.004657316201027051,-0.004657316201027051
2021-10-08,0.9992,positive,0.0028359561343596074,-0.000855921427125983,0.0036918775614855903
2024-10-04,0.9987,positive,-0.008748875168602677,-0.021196375260987388,0.012447500092384711
2023-12-08,0.9999,positive,0.001320935183362959,0.001107522090901758,0.000213413092461201
2020-03-06,0.9996,positive,-0.048956043335951605,-0.0015135461780525494,-0.047442497157899055
2024-12-19,0.9999,positive,-0.01520556915080562,-0.009552214929870184,-0.005653354220935436
