Date,Close,High,Low,Open,Volume,Speech_Date
,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN,
2021-02-02,49797.71875,50154.48046875,49193.26171875,49193.26171875,28400,2021-02-05
2021-02-03,50255.75,50526.390625,49515.87890625,50231.05859375,22400,2021-02-05
2021-02-04,50614.2890625,50687.51171875,49926.44921875,50212.25,33600,2021-02-05
2021-02-05,50731.62890625,51073.26953125,50565.2890625,51031.390625,32200,2021-02-05
2021-02-08,51348.76953125,51523.37890625,51146.671875,51146.671875,20600,2021-02-05
2021-04-05,49159.3203125,50028.671875,48580.80078125,50020.91015625,12700,2021-04-07
2021-04-06,49201.390625,49582.26171875,48936.3515625,49441.12890625,9600,2021-04-07
2021-04-07,49661.76171875,49900.12890625,49093.8984375,49277.08984375,9800,2021-04-07
2021-04-08,49746.2109375,50118.078125,49581.609375,49885.26171875,21800,2021-04-07
2021-04-09,49591.3203125,49906.91015625,49461.01171875,49743.390625,8900,2021-04-07
2021-06-01,51934.87890625,52228.6484375,51808.87890625,52067.51171875,13400,2021-06-04
2021-06-02,51849.48046875,51913.921875,51450.578125,51749.1015625,13500,2021-06-04
2021-06-03,52232.4296875,52273.23046875,51942.19921875,52121.578125,15000,2021-06-04
2021-06-04,52100.05078125,52389.01953125,51952.69921875,52367.51953125,16700,2021-06-04
2021-06-07,52328.51171875,52378.69140625,52054.76171875,52231.37890625,19800,2021-06-04
2021-08-03,53823.359375,53887.98046875,53088.3515625,53125.96875,8100,2021-08-06
2021-08-04,54369.76953125,54465.91015625,54034.30859375,54071.21875,14600,2021-08-06
2021-08-05,54492.83984375,54717.23828125,54230.890625,54576.640625,15300,2021-08-06
2021-08-06,54277.71875,54633.578125,54210.328125,54492.171875,7200,2021-08-06
2021-08-09,54402.8515625,54584.73046875,54124.26953125,54385.7109375,11500,2021-08-06
2021-10-05,59744.87890625,59778.87109375,59127.0390625,59320.140625,12900,2021-10-08
2021-10-06,59189.73046875,59963.5703125,59079.859375,59942.0,7000,2021-10-08
2021-10-07,59677.828125,59914.91015625,59597.05859375,59632.80859375,5700,2021-10-08
2021-10-08,60059.05859375,60212.30078125,59830.9296875,59960.390625,5700,2021-10-08
2021-10-11,60135.78125,60476.12890625,59811.421875,60099.6796875,42500,2021-10-08
2021-12-06,56747.140625,57781.4609375,56687.62109375,57778.01171875,7200,2021-12-08
2021-12-07,57633.6484375,57905.62890625,56992.26953125,57125.98046875,10900,2021-12-08
2021-12-08,58649.6796875,58702.6484375,58122.26953125,58158.55859375,13400,2021-12-08
2021-12-09,58807.12890625,58889.9609375,58340.8515625,58831.41015625,7900,2021-12-08
2021-12-10,58786.671875,58859.91015625,58414.76171875,58696.7109375,5600,2021-12-08
2022-02-07,57621.19140625,58707.76171875,57299.05078125,58549.671875,11500,2022-02-10
2022-02-08,57808.578125,57925.8203125,57058.76953125,57799.671875,8900,2022-02-10
2022-02-09,58465.96875,58507.609375,58105.1796875,58163.01171875,5900,2022-02-10
2022-02-10,58926.03125,59060.23828125,58332.28125,58810.53125,6700,2022-02-10
2022-02-11,58152.921875,58447.1484375,57914.1015625,58447.1484375,5700,2022-02-10
2022-04-05,60176.5,60786.0703125,60067.1796875,60786.0703125,6800,2022-04-08
2022-04-06,59610.41015625,59941.5703125,59509.83984375,59815.7109375,10600,2022-04-08
2022-04-07,59034.94921875,59504.921875,58977.3515625,59402.609375,8300,2022-04-08
2022-04-08,59447.1796875,59654.44140625,58876.359375,59256.96875,8400,2022-04-08
2022-04-11,58964.5703125,59355.76171875,58894.3984375,59333.1796875,9000,2022-04-08
2022-06-06,55675.3203125,55832.28125,55295.73828125,55610.640625,4300,2022-06-08
2022-06-07,55107.33984375,55387.76953125,54882.41015625,55373.1796875,3600,2022-06-08
2022-06-08,54892.48828125,55423.96875,54683.30078125,55345.51171875,6000,2022-06-08
2022-06-09,55320.28125,55366.83984375,54507.41015625,54514.171875,6000,2022-06-08
2022-06-10,54303.44140625,54780.78125,54205.98828125,54760.25,4800,2022-06-08
2022-08-02,58136.359375,58328.41015625,57744.69921875,58049.01953125,15500,2022-08-05
2022-08-03,58350.53125,58415.62890625,57788.78125,58174.109375,7200,2022-08-05
2022-08-04,58298.80078125,58712.66015625,57577.05078125,58571.28125,8900,2022-08-05
2022-08-05,58387.9296875,58649.19140625,58244.859375,58421.0390625,9300,2022-08-05
2022-08-08,58853.0703125,58934.8984375,58266.6484375,58417.7109375,9800,2022-08-05
2022-09-27,57107.51953125,57704.5703125,56950.51953125,57376.51953125,13900,2022-09-30
2022-09-28,56598.28125,57213.328125,56485.671875,56710.12890625,26800,2022-09-30
2022-09-29,56409.9609375,57166.140625,56314.05078125,56997.8984375,11400,2022-09-30
2022-09-30,57426.921875,57722.62890625,56147.23046875,56240.1484375,12300,2022-09-30
2022-10-03,56788.80859375,57454.83984375,56683.3984375,57403.921875,8100,2022-09-30
2022-12-05,62834.6015625,62939.62890625,62507.87890625,62865.28125,13100,2022-12-07
2022-12-06,62626.359375,62677.83984375,62390.0703125,62395.55078125,6100,2022-12-07
2022-12-07,62410.6796875,62759.96875,62316.6484375,62615.51953125,4800,2022-12-07
2022-12-08,62570.6796875,62633.55859375,62320.1796875,62504.0390625,13700,2022-12-07
2022-12-09,62181.671875,62735.421875,61889.109375,62690.859375,7300,2022-12-07
2023-02-06,60506.8984375,60847.2109375,60345.609375,60847.2109375,7500,2023-02-08
2023-02-07,60286.0390625,60655.140625,60063.48828125,60511.3203125,13600,2023-02-08
2023-02-08,60663.7890625,60792.1015625,60324.921875,60332.98828125,13300,2023-02-08
2023-02-09,60806.21875,60863.62890625,60472.80859375,60715.890625,8500,2023-02-08
2023-02-10,60682.69921875,60774.140625,60501.73828125,60706.80859375,5300,2023-02-08
2023-04-03,59106.44140625,59204.8203125,58793.078125,59131.16015625,4300,2023-04-06
2023-04-05,59689.30859375,59747.12109375,59094.3984375,59094.7109375,5000,2023-04-06
2023-04-06,59832.96875,59950.05859375,59520.12109375,59627.01171875,4700,2023-04-06
2023-06-05,62787.46875,62943.19921875,62751.71875,62759.19140625,6100,2023-06-08
2023-06-06,62792.87890625,62867.94921875,62554.2109375,62738.3515625,8100,2023-06-08
2023-06-07,63142.9609375,63196.4296875,62841.94921875,62917.390625,6900,2023-06-08
2023-06-08,62848.640625,63321.3984375,62789.73046875,63140.171875,11000,2023-06-08
2023-06-09,62625.62890625,62992.16015625,62594.73828125,62810.6796875,41400,2023-06-08
